SIM4ME,,,,,,,,,,,,,,,,,,,,,,,
#TYPE,FROM ENGINE,FROM SYMBOL,FROM VALUE INFO,FROM VALUE UOM,TO ENGINE,TO SYMBOL,TO VALUE INFO,TO VALUE UOM,PERIOD,EQUATION,DESCRIPTION,CONV TYPE,TOLERANCE,MIN SCALE,MAX SCALE,LOW LIMIT,HI LIMIT,MISC1,MISC2,MISC3,MISC4,MISC5,COMMENTS
A,DYN,ZERO, refs,,SCP,1BA_HPR_C:ABLI5800C.POINT,SIMOPT = 0,PCT,,,BA HPR C WATER    LEVEL,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F22101,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_C:ABLI5809C1.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP C  (LEFT/WEST),3,0,0,12.7,-0.254,12.954,RIN : 0CP001 : WAN1F22115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_C:ABLI5809C2.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP C  (CENTER/WEST),3,0,0,15.2,-0.304,15.504,RIN : 0CP001 : WAN1F22115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_C:ABLI5809C3.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP C  (RIGHT/WEST),3,0,0,10.7,-0.214,10.914,RIN : 0CP001 : WAN1F22115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPRS:ABPI5808.POINT,SIMOPT = 0,PSI,,,U1 BA HOPPER FLSH WTR PRESSURE,3,0,7.5,307.5,1.5,313.5,RIN : 0CP001 : WAN1F20140,,,,,
A,SCP,1BA_HPRS:ABPY5808.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U1 BA HOPPER FLSH WTR PRES VLV,0,0,0,100,-2,102,ROUT : 0CP001 : WAN1F20140,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPRS:ABPI5810.POINT,SIMOPT = 0,PSI,,,U1 BA HPPR HYD    EJCTR PRES,3,0,7.5,307.5,1.5,313.5,RIN : 0CP001 : WAN1F20141,,,,,
A,SCP,1BA_HPRS:ABPY5810.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U1 BA HPR         EJCTR PRES VLV,0,0,0,100,-2,102,ROUT : 0CP001 : WAN1F20141,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPRS_E_S:ABPI5831.POINT,SIMOPT = 0,psig,,,U1 SCR WATER      PRESS,3,0,0,250,-5,255,RIN : 0CP001 : WAN1F20190,,,,,
A,SCP,1BA_HPRS_E_S:ABPY5831.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U1 SCR WATER PRESSCTRL VLV,0,0,0,100,-2,102,ROUT : 0CP001 : WAN1F20190,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPRS_E_S:ACPI5823.POINT,SIMOPT = 0,INHG,,,U1 SCR VAC        PRESS,3,0,0,20,-0.4,20.4,RIN : 0CP001 : WAN1F20192,,,,,
A,DYN,ZERO, refs,,SCP,1BA_MLRJTK:ABLI5445A.POINT,SIMOPT = 0,PCT,,,U1 MILL REJECTS TKLVL A,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20250,,,,,
A,DYN,ZERO, refs,,SCP,1BA_MLRJTK:ABLI5445B.POINT,SIMOPT = 0,PCT,,,U1 MILL REJECTS TKLVL B,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20250,,,,,
A,DYN,ZERO, refs,,SCP,1BA_MLRJTK:ABPI5843.POINT,SIMOPT = 0,PSI,,,PYRITE WATER      PRESS,3,0,0,300,-6,306,RIN : 0CP001 : WAN1F20253,,,,,
A,SCP,1BA_MLRJTK:ABPY5843.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U1 PYRITE WATER   PRES CTRL VLV,0,0,0,100,-2,102,ROUT : 0CP001 : WAN1F20253,,,,,
A,DYN,ZERO, refs,,SCP,1BA_MLRJTK:ABPI5447.POINT,SIMOPT = 0,PSIG,,,U1 BA SYS         DISCH PRES,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20256,,,,,
A,DYN,ZERO, refs,,SCP,1BA_MLRJTK:ABPI5453.POINT,SIMOPT = 0,PSIG,,,U1 BA SYS         DISCH PRES,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20256,,,,,
A,DYN,ZERO, refs,,SCP,1FA_BL_1A_1:ACTI5440A.POINT,0P1306:2,DEG.F,,,U1 FC PRS BLR 1A  TEMP,21,0,32,1600,-454,1670,AIN : 0CP001 : WAN1F10420,,,,,
A,DYN,ZERO, refs,,SCP,1FA_BL_1A_1:ACPDI5440AA.POINT,SIMOPT = 0,IN WC,,,1 FC PRS BLR 1A   PRS DIFF IND,3,0,0,25,-0.5,25.5,RIN : 0CP001 : WAN1F10420,,,,,
A,DYN,ZERO, refs,,SCP,1FA_BL_1B_1:ACTI5440B.POINT,0P1307:2,DEG.F,,,U1 FC PRS BLR 1B  TEMP,21,0,32,1600,-454,1670,AIN : 0CP001 : WAN1F11420,,,,,
A,DYN,ZERO, refs,,SCP,1FA_BL_1B_1:ACPDI5440BA.POINT,SIMOPT = 0,IN WC,,,1 FC PRS BLR 1B   PRS DIFF IND,3,0,0,25,-0.5,25.5,RIN : 0CP001 : WAN1F11420,,,,,
A,DYN,ZERO, refs,,SCP,1FA_BL_1C_1:ACTI5440C.POINT,0P1308:2,DEG.F,,,U1 FC PRS BLR 1C  TEMP,21,0,32,1600,-454,1670,AIN : 0CP001 : WAN1F12420,,,,,
A,DYN,ZERO, refs,,SCP,1FA_BL_1C_1:ACPDI5440CA.POINT,SIMOPT = 0,IN WC,,,1 FC PRS BLR 1C   PRS DIFF IND,3,0,0,25,-0.5,25.5,RIN : 0CP001 : WAN1F12420,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1A:ACPDI5430A.POINT,SIMOPT = 0,IN WC,,,U1 FC 1A PRESSURE DIFFERENTIAL,3,0,0,20,-0.4,20.4,RIN : 0CP001 : WAN1F10203,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1A:ACFI5440A.POINT,SIMOPT = 0,CFM,,,U1 PRS BLRS TO    U1 F/C 1A FLW,3,0,0,4000,-80,4080,RIN : 0CP001 : WAN1F10212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1A:ACPI5435AA.POINT,SIMOPT = 0,INHG,,,U1 FC 1A TO VAC   PRDCRS PRESS,3,0,0,30,-0.6,30.6,RIN : 0CP001 : WAN1F10212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1A:ACPI5440AP.POINT,SIMOPT = 0,PSIG,,,U1 PRS BLRS TO    U1 F/C 1A PRS,3,0,0,30,-0.6,30.6,RIN : 0CP001 : WAN1F10212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1B:ACPDI5430B.POINT,SIMOPT = 0,INWC,,,U1 FC 1B PRESS    DIFF,3,0,0,20,-0.4,20.4,RIN : 0CP001 : WAN1F11203,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1B:ACFI5440B.POINT,SIMOPT = 0,CFM,,,U1 PRS BLRS TO    U1 F/C 1B FLW,3,0,0,4000,-80,4080,RIN : 0CP001 : WAN1F11212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1B:ACPI5435BB.POINT,SIMOPT = 0,INHG,,,U1 FC 1B-VAC      PRDCRS PRESS,3,0,0,30,-0.6,30.6,RIN : 0CP001 : WAN1F11212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1B:ACPI5440BP.POINT,SIMOPT = 0,PSIG,,,U1 PRS BLRS TO    U1 F/C 1B PRS,3,0,0,30,-0.6,30.6,RIN : 0CP001 : WAN1F11212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1C:ACPDI5430C.POINT,SIMOPT = 0,INWC,,,U1 FC 1C PRESS    DIFF,3,0,0,20,-0.4,20.4,RIN : 0CP001 : WAN1F12203,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1C:ACFI5440C.POINT,SIMOPT = 0,CFM,,,U1 PRS BLRS TO    U1 F/C 1C FLW,3,0,0,4000,-80,4080,RIN : 0CP001 : WAN1F12212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1C:ACPI5435CC.POINT,SIMOPT = 0,INHG,,,U1 FC 1C TO VAC   PRDCRS PRESS,3,0,0,30,-0.6,30.6,RIN : 0CP001 : WAN1F12212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_FC_1C:ACPI5440CP.POINT,SIMOPT = 0,PSIG,,,U1 PRS BLRS TO    U1 F/C 1C PRS,3,0,0,30,-0.6,30.6,RIN : 0CP001 : WAN1F12212,,,,,
A,DYN,ZERO, refs,,SCP,1FA_VP_1A_1:ACTI5435A.POINT,0P1306:1,DEGF,,,U1 VAC PRDCR 1A   TEMP IND HI,21,0,32,1600,-454,1670,AIN : 0CP001 : WAN1F10311,,,,,
A,DYN,ZERO, refs,,SCP,1FA_VP_1A_1:ACPDI5435A.POINT,SIMOPT = 0,INWC,,,U1 VAC PRDCR 1A   DP 5435A,3,0,-25,25,-26,26,RIN : 0CP001 : WAN1F10311,,,,,
A,DYN,ZERO, refs,,SCP,1FA_VP_1B_1:ACTI5435B.POINT,0P1307:1,DEG F,,,U1 VAC PRDCR 1B   TEMP HI,21,0,32,1600,-454,1670,AIN : 0CP001 : WAN1F11311,,,,,
A,DYN,ZERO, refs,,SCP,1FA_VP_1B_1:ACPDI5435B.POINT,SIMOPT = 0,INWC,,,U1 VAC PRDCR 1B   DP 5435B,3,0,-25,25,-26,26,RIN : 0CP001 : WAN1F11311,,,,,
A,DYN,ZERO, refs,,SCP,1FA_VP_1C_1:ACTI5435C.POINT,0P1308:1,DEG F,,,U1 VAC PRDCR 1C   TEMP HI,21,0,32,1600,-454,1670,AIN : 0CP001 : WAN1F12311,,,,,
A,DYN,ZERO, refs,,SCP,1FA_VP_1C_1:ACPDI5435C.POINT,SIMOPT = 0,INWC,,,U1 VAC PRDCR 1C   DP 5435C,3,0,-25,25,-26,26,RIN : 0CP001 : WAN1F12311,,,,,
A,DYN,ZERO, refs,,SCP,0BA_MISC:ABPI5001.POINT,SIMOPT = 0,PSI,,,POT WTR TO SFTY   SHWR/EYEWSH,3,0,0,200,-4,204,RIN : 0CP002 : WAN0F03970,,,,,
A,DYN,ZERO, refs,,SCP,0BA_MISC:ABPI5003.POINT,SIMOPT = 0,PSI,,,WTR SERVICE HEADERPRESSEURE IND,3,0,0,200,-4,204,RIN : 0CP002 : WAN0F03970,,,,,
A,DYN,ZERO, refs,,SCP,0FA_BORAL:ACLI5470.POINT,SIMOPT = 0,PCT,,,EXISTING BORAL    SILO LVL 5470,3,0,0,100,-2,102,RIN : 0CP002 : WAN0F13600,,,,,
A,DYN,ZERO, refs,,SCP,0FA_DAS_CP2:ACTI5021.POINT,SIMOPT = 0,DEGF,,,U2 ESP ELECTRIC   ROOM TEMP IND,3,0,0,135,-2.7,137.7,RIN : 0CP002 : WAN0F13720,,,,,
A,DYN,ZERO, refs,,SCP,0FA_DAS_CP2:U2_MEGAWATTS.POINT,SIMOPT = 0,MW,,,U2 MEGAWATTS,3,0,0,1000,-20,1020,RIN : 0CP002 : WAN0F13710,,,,,
A,DYN,ZERO, refs,,SCP,0FA_FC_CMP_2:ACPI5445AB.POINT,SIMOPT = 0,PSIG,,,FC AIR COMP A DRY AIR RCVR PRESS,3,0,0,200,-4,204,RIN : 0CP002 : WAN0F10210,,,,,
A,DYN,ZERO, refs,,SCP,0FA_FC_CMP_2:ACPI5445BB.POINT,SIMOPT = 0,PSIG,,,FC AIR COMP B DRY AIR RCVR PRESS,3,0,0,200,-4,204,RIN : 0CP002 : WAN0F10211,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABSI5435A.POINT,SIMOPT = 0,PCT,,,U2 BH OVRFL PMP   5435A SPEED,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20200,,,,,
A,SCP,2BA_BH_OFTK:ABSY5435A.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U2 BH OVRFL PMP   5435A SPD CMD,0,0,0,100,-2,102,ROUT : 0CP002 : WAN2F20200,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABII5435A.POINT,SIMOPT = 0,AMPS,,,U2 BH OVRFL PMP   5435A AMPS,3,0,0,150,-3,153,RIN : 0CP002 : WAN2F20200,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABSI5435B.POINT,SIMOPT = 0,PCT,,,U2 BH OVRFL PMP   5435B SPEED,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20210,,,,,
A,SCP,2BA_BH_OFTK:ABSY5435B.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U2 BH OVRFL PMP   5435B SPD CMD,0,0,0,100,-2,102,ROUT : 0CP002 : WAN2F20210,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABII5435B.POINT,SIMOPT = 0,AMPS,,,U2 BH OVRFL PMP   5435B AMPS,3,0,0,150,-3,153,RIN : 0CP002 : WAN2F20210,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABLI5430A.POINT,SIMOPT = 0,PCT,,,U2 BLR HSE OVRFL  TNK LVL 5430A,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20220,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABLI5430B.POINT,SIMOPT = 0,PCT,,,U2 BLR HSE OVRFL  TNK LVL 5430B,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20220,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABPI5438.POINT,SIMOPT = 0,PSIG,,,2BLR OVRFL PMPS   DCS PRESS,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20221,,,,,
A,DYN,ZERO, refs,,SCP,2BA_BH_OFTK:ABPI5402.POINT,SIMOPT = 0,PSI,,,U2 LO PRS PMPS    WTR SPLY PRS,3,0,0,95,-1.9,96.9,RIN : 0CP002 : WAN2F20242,,,,,
A,DYN,ZERO, refs,,SCP,2BA_ESPSMP:ABPI5483.POINT,SIMOPT = 0,PSIG,,,U2 ESP SUMP PUMPS DSC PRESS,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20284,,,,,
A,DYN,ZERO, refs,,SCP,2BA_ESPSMP:ABLI5480A.POINT,SIMOPT = 0,PCT,,,U2 ESP SUMP LEVEL A,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20286,,,,,
A,DYN,ZERO, refs,,SCP,2BA_ESPSMP:ABLI5480B.POINT,SIMOPT = 0,PCT,,,U2 ESP SUMP LEVEL B,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20286,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_A:ABLI5800A.POINT,SIMOPT = 0,PCT,,,BA HPR A WATER    LEVEL,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20101,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_A:ABLI5809A1.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP A  (LEFT/WEST),3,0,0,13.5,-0.27,13.77,RIN : 0CP002 : WAN2F20115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_A:ABLI5809A2.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP A  (CENTER/WEST),3,0,0,15.4,-0.308,15.708,RIN : 0CP002 : WAN2F20115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_A:ABLI5809A3.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP A  (RIGHT/WEST),3,0,0,10.7,-0.214,10.914,RIN : 0CP002 : WAN2F20115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_B:ABLI5800B.POINT,SIMOPT = 0,PCT,,,BA HPR B WATER    LEVEL,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F21101,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_B:ABLI5809B1.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP B  (LEFT/CENTER),3,0,0,12.8,-0.256,13.056,RIN : 0CP002 : WAN2F21115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_B:ABLI5809B2.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP B  (CENT/CENT),3,0,0,14.5,-0.29,14.79,RIN : 0CP002 : WAN2F21115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_B:ABLI5809B3.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP B  (RIGHT/CENTER),3,0,0,10.7,-0.214,10.914,RIN : 0CP002 : WAN2F21115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_C:ABLI5800C.POINT,SIMOPT = 0,PCT,,,BA HPR C WATER    LEVEL,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F22101,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_C:ABLI5809C1.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP C  (LEFT/EAST),3,0,0,12.5,-0.25,12.75,RIN : 0CP002 : WAN2F22115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_C:ABLI5809C2.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP C  (CENTER/EAST),3,0,0,15.4,-0.308,15.708,RIN : 0CP002 : WAN2F22115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPR_C:ABLI5809C3.POINT,SIMOPT = 0,FT,,,U2 BOT ASH HOP C  (RIGHT/EAST),3,0,0,10.7,-0.214,10.914,RIN : 0CP002 : WAN2F22115,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPRS:ABPI5808.POINT,SIMOPT = 0,PSI,,,U2 BA HOPPER FLSH WTR PRESSURE,3,0,7.5,307.5,1.5,313.5,RIN : 0CP002 : WAN2F20140,,,,,
A,SCP,2BA_HPRS:ABPY5808.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U2 BA HOPPER FLSH WTR PRES VLV,0,0,0,100,-2,102,ROUT : 0CP002 : WAN2F20140,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPRS:ABPI5810.POINT,SIMOPT = 0,PSI,,,U2 BA HPPR HYD    EJCTR PRES,3,0,7.5,307.5,1.5,313.5,RIN : 0CP002 : WAN2F20141,,,,,
A,SCP,2BA_HPRS:ABPY5810.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U2 BA HPR         EJCTR PRES VLV,0,0,0,100,-2,102,ROUT : 0CP002 : WAN2F20141,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPRS_E_S:ABPI5831.POINT,SIMOPT = 0,psig,,,U2 SCR WATER      PRESS,3,0,0,250,-5,255,RIN : 0CP002 : WAN2F20190,,,,,
A,SCP,2BA_HPRS_E_S:ABPY5831.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U2 SCR WATER PRESSCTRL VLV,0,0,0,100,-2,102,ROUT : 0CP002 : WAN2F20190,,,,,
A,DYN,ZERO, refs,,SCP,2BA_HPRS_E_S:ACPI5823.POINT,SIMOPT = 0,INHG,,,U2 SCR VAC        PRESS,3,0,0,20,-0.4,20.4,RIN : 0CP002 : WAN2F20192,,,,,
A,DYN,ZERO, refs,,SCP,2BA_MLRJTK:ABLI5445A.POINT,SIMOPT = 0,PCT,,,U2 MILL REJECTS TKLVL A,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20250,,,,,
A,DYN,ZERO, refs,,SCP,2BA_MLRJTK:ABLI5445B.POINT,SIMOPT = 0,PCT,,,U2 MILL REJECTS TKLVL B,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20250,,,,,
A,DYN,ZERO, refs,,SCP,2BA_MLRJTK:ABPI5843.POINT,SIMOPT = 0,PSI,,,PYRITE WATER      PRESS,3,0,0,300,-6,306,RIN : 0CP002 : WAN2F20253,,,,,
A,SCP,2BA_MLRJTK:ABPY5843.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U2 PYRITE WATER   PRES CTRL VLV,0,0,0,100,-2,102,ROUT : 0CP002 : WAN2F20253,,,,,
A,DYN,ZERO, refs,,SCP,2BA_MLRJTK:ABPI5447.POINT,SIMOPT = 0,PSIG,,,U2 BA SYS         DISCH PRES,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20256,,,,,
A,DYN,ZERO, refs,,SCP,2BA_MLRJTK:ABPI5461.POINT,SIMOPT = 0,PSIG,,,U2 BA SYS         DISCH PRES,3,0,0,100,-2,102,RIN : 0CP002 : WAN2F20256,,,,,
A,DYN,ZERO, refs,,SCP,2FA_BL_2A_2:ACTI5440A.POINT,0P2306:2,DEG.F,,,U2 FC PRS BLR 2A  TEMP,21,0,32,1600,-454,1670,AIN : 0CP002 : WAN2F10420,,,,,
A,DYN,ZERO, refs,,SCP,2FA_BL_2A_2:ACPDI5440AA.POINT,SIMOPT = 0,IN WC,,,1 FC PRS BLR 2A   PRS DIFF IND,3,0,0,25,-0.5,25.5,RIN : 0CP002 : WAN2F10420,,,,,
A,DYN,ZERO, refs,,SCP,2FA_BL_2B_2:ACTI5440B.POINT,0P2307:2,DEG.F,,,U2 FC PRS BLR 2B  TEMP,21,0,32,1600,-454,1670,AIN : 0CP002 : WAN2F11420,,,,,
A,DYN,ZERO, refs,,SCP,2FA_BL_2B_2:ACPDI5440BA.POINT,SIMOPT = 0,IN WC,,,2 FC PRS BLR 2B   PRS DIFF IND,3,0,0,25,-0.5,25.5,RIN : 0CP002 : WAN2F11420,,,,,
A,DYN,ZERO, refs,,SCP,2FA_BL_2C_2:ACTI5440C.POINT,0P2308:2,DEG.F,,,U2 FC PRS BLR 2C  TEMP,21,0,32,1600,-454,1670,AIN : 0CP002 : WAN2F12420,,,,,
