SIM4ME,,,,,,,,,,,,,,,,,,,,,,,
#TYPE,FROM ENGINE,FROM SYMBOL,FROM VALUE INFO,FROM VALUE UOM,TO ENGINE,TO SYMBOL,TO VALUE INFO,TO VALUE UOM,PERIOD,EQUATION,DESCRIPTION,CONV TYPE,TOLERANCE,MIN SCALE,MAX SCALE,LOW LIMIT,HI LIMIT,MISC1,MISC2,MISC3,MISC4,MISC5,COMMENTS
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT560.POINT_TEMP,1D1604:00,,,,AIR HTR GAS OUTLET A LEFT 6FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1604,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGX{F},,,ExampleSCP1,1AAHTR3:AT561.POINT,1D1604_06,,,,AIR HTR GAS OUTLET A LEFT 10FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT561.POINT_TEMP,1D1604:00,,,,AIR HTR GAS OUTLET A LEFT 10FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1604,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGX{F},,,ExampleSCP1,1AAHTR3:AT562.POINT,1D1608_07,,,,AIR HTR GAS OUTLET A CNTR 1FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT562.POINT_TEMP,1D1607:00,,,,AIR HTR GAS OUTLET A CNTR 1FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1607,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGX{F},,,ExampleSCP1,1AAHTR3:AT563.POINT,1D1535_07,,,,AIR HTR GAS OUTLET A CNTR 6FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT563.POINT_TEMP,1D1607:00,,,,AIR HTR GAS OUTLET A CNTR 6FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1607,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGX{F},,,ExampleSCP1,1AAHTR3:AT564.POINT,1D1604_07,,,,AIR HTR GAS OUTLET A CNTR 10FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT564.POINT_TEMP,1D1607:00,,,,AIR HTR GAS OUTLET A CNTR 10FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1607,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,HFG2.T{F},,,ExampleSCP1,1AAHTR3:AT565.POINT,1D1608_08,,,,AIT HTR GAS OUTLET A RIGHT 1 FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT565.POINT_TEMP,1D1608:00,,,,AIT HTR GAS OUTLET A RIGHT 1 FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1608,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,HFG2.T{F},,,ExampleSCP1,1AAHTR3:AT566.POINT,1D1535_08,,,,AIR HTR GAS OUTLET RH RIGHT 10FT,FOXSCI23_16,0,0,1500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT566.POINT_TEMP,1D1608:00,,,,AIR HTR GAS OUTLET RH RIGHT 10FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1608,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGX{F},,,ExampleSCP1,1AAHTR3:AT567.POINT,1D1604_08,,,,AIR HTR GAS OUTLET A RIGHT 10FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT567.POINT_TEMP,1D1608:00,,,,AIR HTR GAS OUTLET A RIGHT 10FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1608,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR3:AT811.POINT,1D1712_01,,, LIM01((APH1A.TGI - TAMB)/(660 - 70))*57.2,1A AHTR BRG COLD  END TEMP,FOXSCI0_16,0,0,65535,-10,65535,CINTRP1(102,RTD120_TAB[0]),,,120204NEW,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR3:AT812.POINT,1D1712_02,,, LIM01((APH1A.TGI - TAMB)/(660 - 70))*65.6,1A AHTR BRG HOT   END TEMP,FOXSCI0_16,0,0,65535,-10,65535,CINTRP1(103,RTD120_TAB[0]),,,120204NEW,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_A:BKFI5737A.POINT,1ACI11_05,,, (FACI_BLWRA2.FX/29)*359.05*60,TRAIN A BLOWER DISCHARGE FLOWMETER,FOXSCI3_16,0,0,1600,-32,1632,SCFM,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_A:BKPDI5730A.POINT,1ACI11_04,,, (-10*M_5711A.POS),TRAIN A BLOWER INLET PRESSURE TRANSMITTER,FOXSCI3_16,0,0,40,-0.4,40.8,IN WC,MATS,,,,
A,DynsimFGD,ACI_TRAINA_EDCTVAC.OUT,,,ExampleSCP1,1ACI_TRAIN_A:BKPDI5734A.POINT,1ACI11_01,,,,TRAIN A EDUCTOR VACUUM TRANSMITTER,FOXSCI3_16,0,-20,10,-20.4,10.4,IN WC,MATS,,,,
A,DynsimFGD,HACI_BLWRA2.P,,PSIG,ExampleSCP1,1ACI_TRAIN_A:BKPI5733A.POINT,1ACI11_02,,,,TRAIN A BLOWER DISCHARGE PRES. TRANSMITTER,0,0,0,20,-0.4,20.4,PSI,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_A:BKSI5713AA.POINT,1ACI06_01,,, VFDA_SP*M_5713A.POS,TRAIN A FEEDER CONTROLLER DEMAND FREQUENCY,0,0,0,60,-1.2,61.2,HZ,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_A:BKSI5713AB.POINT,1ACI06_03,,, M_5713A.SPEEDCOM*60,TRAIN A FEEDER MOTOR VFD ACTUAL FREQUENCY,0,0,0,60,-1.2,61.2,HZ,MATS,,,,
A,DynsimFGD,HACI_BLWRA2.T,,C,ExampleSCP1,1ACI_TRAIN_A:BKTI5732A.POINT,1ACI11_03,,,,TRAIN A BLOWER DISCHARGE TEMPERATURE TRANSMITTER,FOXSCI3_16,0,-40,482,-40.8,482.8,DEGF,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_A:BKWI5713A.POINT,1ACI06_02,,, F_INJ_ACI_FH1A.FX*3600,TRAIN A FEED RATE ACTUAL (LB/HR),0,0,0,1000,-20,1020,LB/HR,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_B:BKFI5737B.POINT,1ACI12_05,,, (FACI_BLWRB2.FX/29)*359.05*60,TRAIN B BLOWER DISCHARGE FLOWMETER,FOXSCI3_16,0,0,1600,-32,1632,SCFM,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_B:BKPDI5730B.POINT,1ACI12_04,,, (-10*M_5711B.POS),TRAIN B BLOWER INLET PRESSURE TRANSMITTER,FOXSCI3_16,0,0,40,-0.4,40.8,IN WC,MATS,,,,
A,DynsimFGD,ACI_TRAINB_EDCTVAC.OUT,,,ExampleSCP1,1ACI_TRAIN_B:BKPDI5734B.POINT,1ACI12_01,,,,TRAIN B EDUCTOR VACUUM TRANSMITTER,FOXSCI3_16,0,-20,10,-20.4,10.4,IN WC,MATS,,,,
A,DynsimFGD,HACI_BLWRB2.P,,PSIG,ExampleSCP1,1ACI_TRAIN_B:BKPI5733B.POINT,1ACI12_02,,,,TRAIN B BLOWER DISCHARGE PRES. TRANSMITTER,0,0,0,20,-0.4,20.4,PSI,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_B:BKSI5713BA.POINT,1ACI07_01,,, VFDB_SP*M_5713B.POS,TRAIN B FEEDER CONTROLLER DEMAND FREQUENCY,0,0,0,60,-1.2,61.2,HZ,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_B:BKSI5713BB.POINT,1ACI07_03,,, M_5713B.SPEEDCOM*60,TRAIN B FEEDER MOTOR VFD ACTUAL FREQUENCY,0,0,0,60,-1.2,61.2,HZ,MATS,,,,
A,DynsimFGD,HACI_BLWRB2.T,,C,ExampleSCP1,1ACI_TRAIN_B:BKTI5732B.POINT,1ACI12_03,,,,TRAIN B BLOWER DISCHARGE TEMPERATURE TRANSMITTER,FOXSCI3_16,0,-40,482,-40.8,482.8,DEGF,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_B:BKWI5713B.POINT,1ACI07_02,,, F_INJ_ACI_FH1B.FX*3600,TRAIN B FEED RATE ACTUAL (LB/HR),0,0,0,1000,-20,1020,LB/HR,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_C:BKFI5737C.POINT,1ACI13_05,,, (FACI_BLWRC2.FX/29)*359.05*60,TRAIN C BLOWER DISCHARGE FLOWMETER,FOXSCI3_16,0,0,1600,-32,1632,SCFM,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_C:BKPDI5730C.POINT,1ACI13_04,,, (-10*M_5711C.POS),TRAIN C BLOWER INLET PRESSURE TRANSMITTER,FOXSCI3_16,0,0,40,-0.4,40.8,IN WC,MATS,,,,
A,DynsimFGD,ACI_TRAINC_EDCTVAC.OUT,,,ExampleSCP1,1ACI_TRAIN_C:BKPDI5734C.POINT,1ACI13_01,,,,TRAIN C EDUCTOR VACUUM TRANSMITTER,FOXSCI3_16,0,-20,10,-20.4,10.4,IN WC,MATS,,,,
A,DynsimFGD,HACI_BLWRC2.P,,PSIG,ExampleSCP1,1ACI_TRAIN_C:BKPI5733C.POINT,1ACI13_02,,,,TRAIN C BLOWER DISCHARGE PRES. TRANSMITTER,0,0,0,20,-0.4,20.4,PSI,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_C:BKSI5713CA.POINT,1ACI08_01,,, VFDC_SP*M_5713C.POS,TRAIN C FEEDER CONTROLLER DEMAND FREQUENCY,0,0,0,60,-1.2,61.2,HZ,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_C:BKSI5713CB.POINT,1ACI08_03,,, M_5713C.SPEEDCOM*60,TRAIN C FEEDER MOTOR VFD ACTUAL FREQUENCY,0,0,0,60,-1.2,61.2,HZ,MATS,,,,
A,DynsimFGD,HACI_BLWRC2.T,,C,ExampleSCP1,1ACI_TRAIN_C:BKTI5732C.POINT,1ACI13_03,,,,TRAIN C BLOWER DISCHARGE TEMPERATURE TRANSMITTER,FOXSCI3_16,0,-40,482,-40.8,482.8,DEGF,MATS,,,,
A,DynsimFGD,,,,ExampleSCP1,1ACI_TRAIN_C:BKWI5713C.POINT,1ACI08_02,,, F_INJ_ACI_FH1C.FX*3600,TRAIN C FEED RATE ACTUAL (LB/HR),0,0,0,1000,-20,1020,LB/HR,MATS,,,,
#A,DynsimFGD,M_5713C_FEEDRT,,,ExampleSCP1,1ACI_TRAIN_C:BKWIC5713C.OUTFBK,,,,,TRAIN C FEED RATE SETPOINT (LB/HR) (FBK),0,0,0,1000,-99999,99999,,MATS,,,,
A,DynsimPEngine,PALT.T{F},,,ExampleSCP1,1ACW:B1.POINT,1I0278_07,,,,ALTEREX TEMP,FOXSCI23_16,0,0,200,-346,2192,,,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1ACW:B1.POINT_TEMP,1I0278:00,,,,ALTEREX TEMP - REFERENCE TEMPARATURE POINT TO 1CP987_ECB:1I0278,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,,,,ExampleSCP1,1AF:B1.POINT,1I0616_01,,,"            MFDFANA.I+MFDFANA.POS*RAND(2, 30)",FD FAN A AMPS,FOXSCI3_16,0,0,1000,-20,1020,,,,120104OLD,,
A,DynsimPEngine,,,,ExampleSCP1,1AF:B2.POINT,1I0616_02,,,"            MFDFANB.I+MFDFANB.POS*RAND(2, 30)",FD FAN B AMPS,FOXSCI3_16,0,0,1000,-20,1020,,,,120104OLD,,
A,DynsimPEngine,,,,ExampleSCP1,1AF:B27.POINT,1I0614_03,,, FDFANAVA.POS * 100,FD FAN A INLET    VANES  POS,FOXSCI3_16,0,0,100,-2,102,,Y,,120104OLD,,
A,DynsimPEngine,,,,ExampleSCP1,1AF:B28.POINT,1I0615_03,,, FDFANAVB.POS * 100,FD FAN B INLET    VANES POS,FOXSCI3_16,0,0,100,-2,102,,Y,,120104OLD,,
A,DynsimPEngine,,,,ExampleSCP1,1AFM:B1.POINT,1I0613_01,,, AIR_LAG_B.OUT/15,AIR FLOW #1 LEFT,FOXSCI5_16,0,0,100,-2,102,,Y,,120104OLD,,REVERSED L/R FLOW MAY 22 2005                                        
A,DynsimPEngine,FSA1A.TX{F},,,ExampleSCP1,1AFM:B10.POINT,1I0612_04,,,,AIR TEMP RIGHT    REDUNDANT,FOXSCI23_16,0,-50,150,-346,2192,,Y,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AFM:B10.POINT_TEMP,1I0612:00,,,,AIR TEMP RIGHT    REDUNDANT - REFERENCE TEMPARATURE POINT TO 1CP971_ECB:1I0612,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,,,,ExampleSCP1,1AFM:B2.POINT,1I0614_01,,, AIR_LAG_B.OUT/15,AIR FLOW #2 LEFT,FOXSCI5_16,0,0,100,-2,102,,Y,,120104OLD,,REVERSED L/R FLOW MAY 22 2005                                        
A,DynsimPEngine,,,,ExampleSCP1,1AFM:B3.POINT,1I0615_01,,, AIR_LAG_B.OUT/15,AIR FLOW #3 LEFT,FOXSCI5_16,0,0,100,-2,102,,Y,,120104OLD,,REVERSED L/R FLOW MAY 22 2005                                        
A,DynsimPEngine,,,,ExampleSCP1,1AFM:B4.POINT,1I0613_02,,, AIR_LAG_A.OUT/15,AIR FLOW #1 RIGHT,FOXSCI5_16,0,0,100,-2,102,,Y,,120104OLD,,REVERSED L/R FLOW MAY 22 2005                                        
A,DynsimPEngine,,,,ExampleSCP1,1AFM:B5.POINT,1I0614_02,,, AIR_LAG_A.OUT/15,AIR FLOW #2 RIGHT,FOXSCI5_16,0,0,100,-2,102,,Y,,120104OLD,,REVERSED L/R FLOW MAY 22 2005                                        
A,DynsimPEngine,,,,ExampleSCP1,1AFM:B6.POINT,1I0615_02,,, AIR_LAG_A.OUT/15,AIR FLOW #3 RIGHT,FOXSCI5_16,0,0,100,-2,102,,Y,,120104OLD,,REVERSED L/R FLOW MAY 22 2005                                        
A,DynsimPEngine,FSA1B.TX{F},,,ExampleSCP1,1AFM:B7.POINT,1I0612_01,,,,AIR TEMP LEFT     NORMAL,FOXSCI23_16,0,-50,150,-346,2192,,Y,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AFM:B7.POINT_TEMP,1I0612:00,,,,AIR TEMP LEFT     NORMAL - REFERENCE TEMPARATURE POINT TO 1CP971_ECB:1I0612,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,FSA1B.TX{F},,,ExampleSCP1,1AFM:B8.POINT,1I0612_02,,,,AIR TEMP LEFT     REDUNDANT,FOXSCI23_16,0,-50,150,-346,2192,,Y,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AFM:B8.POINT_TEMP,1I0612:00,,,,AIR TEMP LEFT     REDUNDANT - REFERENCE TEMPARATURE POINT TO 1CP971_ECB:1I0612,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,FSA1A.TX{F},,,ExampleSCP1,1AFM:B9.POINT,1I0612_03,,,,AIR TEMP RIGHT    NORMAL,FOXSCI23_16,0,-50,150,-346,2192,,Y,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AFM:B9.POINT_TEMP,1I0612:00,,,,AIR TEMP RIGHT    NORMAL - REFERENCE TEMPARATURE POINT TO 1CP971_ECB:1I0612,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,,,,ExampleSCP1,1AIR:MP100.POINT,1D1115_02,,, PAMB/.4912,BAROMETRIC PRESS,FOXSCI3_16,0,26.3,34.3,26.14,34.46,,,,120204NEW,,
A,DynsimPEngine,PANEL14.OUT[1],,,ExampleSCP1,1AIR:MP401.POINT,1D0111_04,,,,CTRL AIR PRESS,FOXSCI3_16,0,0,150,-3,153,,,,120204NEW,,
A,DynsimPEngine,PANEL14.OUT[0],,,ExampleSCP1,1AIR:MP402.POINT,1D0111_05,,,,SERVICE AIR PRESS,FOXSCI3_16,0,0,150,-3,153,,,,120204NEW,,
A,DynsimPEngine,,,,ExampleSCP1,1AIR:MT401.POINT,1D0111_06,,, TAMB,DRY BULB TEMP,FOXSCI3_16,0,-20,120,-22.8,122.8,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AIR:MT402.POINT,1D0103_06,,,,AMB AIR WET BULB  TEMP,FOXSCI3_16,0,20,120,18,122,,,,,,ABC                                      
A,DynsimPEngine,APH1A.TAX{F},,,ExampleSCP1,1AIR_HTR:B1.POINT,1I0284_03,,,,1A AIR HTR AIR OUTTEMP,FOXSCI24_16,0,0,1000,-454,2501.6,,,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AIR_HTR:B1.POINT_TEMP,1I0284:00,,,,1A AIR HTR AIR OUTTEMP - REFERENCE TEMPARATURE POINT TO 1CP987_ECB:1I0284,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TAX{F},,,ExampleSCP1,1AIR_HTR:B2.POINT,1I0284_04,,,,1A AIR HTR AIR OUTTEMP,FOXSCI24_16,0,0,1000,-454,2501.6,,,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AIR_HTR:B2.POINT_TEMP,1I0284:00,,,,1A AIR HTR AIR OUTTEMP - REFERENCE TEMPARATURE POINT TO 1CP987_ECB:1I0284,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TAX{F},,,ExampleSCP1,1AIR_HTR:B3.POINT,1I0284_05,,,,1A AIR HTR AIR OUTTEMP,FOXSCI24_16,0,0,1000,-454,2501.6,,,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AIR_HTR:B3.POINT_TEMP,1I0284:00,,,,1A AIR HTR AIR OUTTEMP - REFERENCE TEMPARATURE POINT TO 1CP987_ECB:1I0284,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1B.TAX{F},,,ExampleSCP1,1AIR_HTR:B4.POINT,1I0284_06,,,,1B AIR HTR AIR OUTTEMP,FOXSCI24_16,0,0,1000,-454,2501.6,,,,120104OLD,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AIR_HTR:B4.POINT_TEMP,1I0284:00,,,,1B AIR HTR AIR OUTTEMP - REFERENCE TEMPARATURE POINT TO 1CP987_ECB:1I0284,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1B.TAX{F},,,ExampleSCP1,1AIR_HTR:B5.POINT,1I0284_07,,,,1B AIR HTR AIR OUTTEMP,FOXSCI24_16,0,0,1000,-454,2501.6,,,,120104OLD,,
